testing_performance,testing_complexity,training_performance,training_complexity,task_id,selection,split,task_type,seed
0.5743243,508,0.54652137,508,359959,lexicase,90%,classification,284
0.884058,54796,0.8890877,9796,146818,lexicase,90%,classification,33
0.5878378,148,0.55658007,148,359959,lexicase,90%,classification,274
0.5945946,10,0.5331098,10,359959,lexicase,90%,classification,293
0.86255926,80911,0.8601521,8861,359962,lexicase,90%,classification,455
0.82051283,330402,0.69338423,41512,168784,lexicase,90%,classification,399
0.86255926,2033,0.85898185,2033,359962,lexicase,90%,classification,475
0.6510067,71,0.5823627,55,2073,lexicase,90%,classification,306
0.75,8,0.74938273,8,168757,lexicase,90%,classification,155
0.8584906,361,0.85497075,51,359956,lexicase,90%,classification,193
0.8584906,393,0.8491228,393,359956,lexicase,90%,classification,198
0.9109589,20,0.90516514,20,359958,lexicase,90%,classification,251
0.8530806,24,0.86366296,21,359962,lexicase,90%,classification,479
0.73,23562,0.73209876,2242,168757,lexicase,90%,classification,152
0.74666667,386,0.7986799,386,359955,lexicase,90%,classification,109
0.8630137,18,0.9077053,20,359958,lexicase,90%,classification,256
0.7764706,77,0.7591241,77,190146,lexicase,90%,classification,135
0.57225436,138,0.9464286,55,359960,lexicase,90%,classification,383
0.9109589,89,0.9136325,89,359958,lexicase,90%,classification,246
0.73333335,7181,0.7986799,761,359955,lexicase,90%,classification,104
0.73333335,353,0.8085809,353,359955,lexicase,90%,classification,105
0.8695652,6287,0.8765653,947,146818,lexicase,90%,classification,50
0.72,2351,0.8052805,781,359955,lexicase,90%,classification,117
0.9041096,738,0.9077053,738,359958,lexicase,90%,classification,265
0.5945946,23736,0.6057047,2626,359954,lexicase,90%,classification,76
0.5608108,48727,0.5582565,6331,359959,lexicase,90%,classification,272
0.6351351,2277,0.6409396,2277,359954,lexicase,90%,classification,86
0.90751445,145,0.9442857,145,359960,lexicase,90%,classification,384
0.94219655,901,0.9307143,902,359960,lexicase,90%,classification,388
0.774359,281831,0.74373657,67261,168784,lexicase,80%,classification,893
